n-votes,n-comments,n-visitors,n-voters,n-commenters
926,28,66,926,28
927,28,66,927,28
928,28,66,928,28
929,28,66,929,28
930,28,66,930,28
931,28,66,931,28
932,28,66,932,28
933,28,66,933,28
934,28,66,934,28
935,28,66,935,28
936,28,66,936,28
936,28,67,936,28
937,28,67,937,28
937,28,68,937,28
938,28,68,938,28
939,28,68,939,28
940,28,68,940,28
941,28,68,941,28
942,28,68,942,28
943,28,68,943,28
944,28,68,944,28
945,28,68,945,28
946,28,68,946,28
947,28,68,947,28
948,28,68,948,28
949,28,68,949,28
950,28,68,950,28
951,28,68,951,28
952,28,68,952,28
953,28,68,953,28
954,28,68,954,28
955,28,68,955,28
956,28,68,956,28
957,28,68,957,28
958,28,68,958,28
959,28,68,959,28
960,28,68,960,28
961,28,68,961,28
962,28,68,962,28
963,28,68,963,28
963,28,69,963,28
964,28,69,964,28
965,28,69,965,28
966,28,69,966,28
967,28,69,967,28
968,28,69,968,28
969,28,69,969,28
970,28,69,970,28
971,28,69,971,28
972,28,69,972,28
973,28,69,973,28
974,28,69,974,28
975,28,69,975,28
976,28,69,976,28
977,28,69,977,28
978,28,69,978,28
979,28,69,979,28
980,28,69,980,28
981,28,69,981,28
982,28,69,982,28
983,28,69,983,28
984,28,69,984,28
985,28,69,985,28
986,28,69,986,28
987,28,69,987,28
988,28,69,988,28
989,28,69,989,28
989,28,70,989,28
990,28,70,990,28
991,28,70,991,28
992,28,70,992,28
993,28,70,993,28
994,28,70,994,28
995,28,70,995,28
996,28,70,996,28
997,28,70,997,28
998,28,70,998,28
999,28,70,999,28
1000,28,70,1000,28
1001,28,70,1001,28
1002,28,70,1002,28
1003,28,70,1003,28
1004,28,70,1004,28
1005,28,70,1005,28
1006,28,70,1006,28
1007,28,70,1007,28
1008,28,70,1008,28
1009,28,70,1009,28
1010,28,70,1010,28
1011,28,70,1011,28
1012,28,70,1012,28
1013,28,70,1013,28
1014,28,70,1014,28
1015,28,70,1015,28
1015,28,71,1015,28
1016,28,71,1016,28
1016,29,71,1016,29
1017,29,71,1017,29
1018,29,71,1018,29
1018,29,72,1018,29
1019,29,72,1019,29
1019,29,73,1019,29
1020,29,73,1020,29
1021,29,73,1021,29
1022,29,73,1022,29
1023,29,73,1023,29
1024,29,73,1024,29
1025,29,73,1025,29
1026,29,73,1026,29
1027,29,73,1027,29
1028,29,73,1028,29
1029,29,73,1029,29
1030,29,73,1030,29
1031,29,73,1031,29
1032,29,73,1032,29
1033,29,73,1033,29
1034,29,73,1034,29
1035,29,73,1035,29
1036,29,73,1036,29
1037,29,73,1037,29
1038,29,73,1038,29
1038,29,74,1038,29
1039,29,74,1039,29
1040,29,74,1040,29
1041,29,74,1041,29
1042,29,74,1042,29
1043,29,74,1043,29
1044,29,74,1044,29
1045,29,74,1045,29
1046,29,74,1046,29
1047,29,74,1047,29
1048,29,74,1048,29
1049,29,74,1049,29
1050,29,74,1050,29
1051,29,74,1051,29
1052,29,74,1052,29
1053,29,74,1053,29
1054,29,74,1054,29
1055,29,74,1055,29
1055,29,75,1055,29
1056,29,75,1056,29
1057,29,75,1057,29
1058,29,75,1058,29
1059,29,75,1059,29
1060,29,75,1060,29
1061,29,75,1061,29
1062,29,75,1062,29
1063,29,75,1063,29
1063,29,76,1063,29
1064,29,76,1064,29
1065,29,76,1065,29
1066,29,76,1066,29
1067,29,76,1067,29
1068,29,76,1068,29
1069,29,76,1069,29
1070,29,76,1070,29
1071,29,76,1071,29
1072,29,76,1072,29
1072,29,77,1072,29
1073,29,77,1073,29
1074,29,77,1074,29
1075,29,77,1075,29
1076,29,77,1076,29
1077,29,77,1077,29
1078,29,77,1078,29
1079,29,77,1079,29
1080,29,77,1080,29
1081,29,77,1081,29
1082,29,77,1082,29
1083,29,77,1083,29
1084,29,77,1084,29
1085,29,77,1085,29
1086,29,77,1086,29
1087,29,77,1087,29
1088,29,77,1088,29
1089,29,77,1089,29
1090,29,77,1090,29
1091,29,77,1091,29
1092,29,77,1092,29
1093,29,77,1093,29
1094,29,77,1094,29
1095,29,77,1095,29
1096,29,77,1096,29
1097,29,77,1097,29
1098,29,77,1098,29
1099,29,77,1099,29
1100,29,77,1100,29
1101,29,77,1101,29
1102,29,77,1102,29
1103,29,77,1103,29
1104,29,77,1104,29
1105,29,77,1105,29
1106,29,77,1106,29
1107,29,77,1107,29
1108,29,77,1108,29
1109,29,77,1109,29
1110,29,77,1110,29
1110,29,78,1110,29
1111,29,78,1111,29
1112,29,78,1112,29
1113,29,78,1113,29
1113,30,78,1113,30
1114,30,78,1114,30
1114,30,79,1114,30
1114,31,79,1114,31
1115,31,79,1115,31
1116,31,79,1116,31
1117,31,79,1117,31
1118,31,79,1118,31
1119,31,79,1119,31
1120,31,79,1120,31
1121,31,79,1121,31
1122,31,79,1122,31
1123,31,79,1123,31
1123,31,80,1123,31
1124,31,80,1124,31
1125,31,80,1125,31
1126,31,80,1126,31
1127,31,80,1127,31
1128,31,80,1128,31
1129,31,80,1129,31
1130,31,80,1130,31
1131,31,80,1131,31
1132,31,80,1132,31
1133,31,80,1133,31
1134,31,80,1134,31
1135,31,80,1135,31
1136,31,80,1136,31
1137,31,80,1137,31
1138,31,80,1138,31
1139,31,80,1139,31
1140,31,80,1140,31
1141,31,80,1141,31
1142,31,80,1142,31
1143,31,80,1143,31
1144,31,80,1144,31
1145,31,80,1145,31
1146,31,80,1146,31
1147,31,80,1147,31
1148,31,80,1148,31
1149,31,80,1149,31
1150,31,80,1150,31
1151,31,80,1151,31
1152,31,80,1152,31
1153,31,80,1153,31
1154,31,80,1154,31
1155,31,80,1155,31
1156,31,80,1156,31
1157,31,80,1157,31
1158,31,80,1158,31
1158,31,81,1158,31
1159,31,81,1159,31
1160,31,81,1160,31
1161,31,81,1161,31
1162,31,81,1162,31
1163,31,81,1163,31
1164,31,81,1164,31
1165,31,81,1165,31
1166,31,81,1166,31
1167,31,81,1167,31
1168,31,81,1168,31
1169,31,81,1169,31
1170,31,81,1170,31
1171,31,81,1171,31
1172,31,81,1172,31
1173,31,81,1173,31
1174,31,81,1174,31
1175,31,81,1175,31
1176,31,81,1176,31
1177,31,81,1177,31
1178,31,81,1178,31
1179,31,81,1179,31
1180,31,81,1180,31
1181,31,81,1181,31
1182,31,81,1182,31
1183,31,81,1183,31
1184,31,81,1184,31
1185,31,81,1185,31
1186,31,81,1186,31
1187,31,81,1187,31
1188,31,81,1188,31
1189,31,81,1189,31
1189,31,82,1189,31
1190,31,82,1190,31
1191,31,82,1191,31
1192,31,82,1192,31
1193,31,82,1193,31
1194,31,82,1194,31
1195,31,82,1195,31
1196,31,82,1196,31
1196,31,83,1196,31
1197,31,83,1197,31
1198,31,83,1198,31
1198,31,84,1198,31
1199,31,84,1199,31
1200,31,84,1200,31
1201,31,84,1201,31
1202,31,84,1202,31
1202,32,84,1202,32
1203,32,84,1203,32
1204,32,84,1204,32
1205,32,84,1205,32
1206,32,84,1206,32
1206,33,84,1206,33
1207,33,84,1207,33
1207,33,85,1207,33
1208,33,85,1208,33
1208,33,86,1208,33
1209,33,86,1209,33
1210,33,86,1210,33
1211,33,86,1211,33
1212,33,86,1212,33
1213,33,86,1213,33
1214,33,86,1214,33
1215,33,86,1215,33
1216,33,86,1216,33
1217,33,86,1217,33
1218,33,86,1218,33
1219,33,86,1219,33
